meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
ES2002b,B,14.59,15.42,0.83,ES2002b.B.dialog-act.dharshi.1,B,,7.86,,True,False,0.0,[],False, Is that alright now?,4,elicit,Elicit-Inform
ES2002b,B,16.942,17.91,0.968,ES2002b.B.dialog-act.dharshi.2,,,,,,,,,False, Okay.,1,task,Assess
ES2002b,B,19.66,20.39,0.73,ES2002b.B.dialog-act.dharshi.3,,,,,,,,,False, Sorry?,1,other,Comment-About-Understanding
ES2002b,B,23.28,25.34,2.06,ES2002b.B.dialog-act.dharshi.4,B,B,0.0,7.86,False,False,0.0,[],False," Okay, everybody all set to start the meeting?",8,elicit,Elicit-Inform
ES2002b,B,25.34,34.61,9.27,ES2002b.B.dialog-act.dharshi.5,D,B,-7.23,0.0,False,True,1.15,['ES2002b.D.dialog-act.dharshi.1'],False," Okay, we've got half an hour for this one um to uh discuss the um functional design.",17,task,Inform
ES2002b,D,27.38,28.53,1.15,ES2002b.D.dialog-act.dharshi.1,B,B,6.08,-7.23,True,False,0.0,[],False, Could you plug me in?,5,task,Suggest
ES2002b,C,30.478,30.959,0.481,ES2002b.C.dialog-act.dharshi.1,,,,,,,,,False,,0,minor,Fragment
ES2002b,D,30.497,33.32,2.823,ES2002b.D.dialog-act.dharshi.2,,,,,,,,,False, Okay.,1,task,Assess
ES2002b,D,33.32,34.09,0.77,ES2002b.D.dialog-act.dharshi.3,,,,,,,,,False, Thanks.,1,other,Be-Positive
ES2002b,B,34.61,35.55,0.94,ES2002b.B.dialog-act.dharshi.6,B,D,1.43,6.08,True,False,0.0,[],True, All ready to go?,4,elicit,Elicit-Inform
ES2002b,B,35.55,36.98,1.43,ES2002b.B.dialog-act.dharshi.7,,,,,,,,,False, Okay.,1,task,Assess
ES2002b,D,36.45,38.931,2.481,ES2002b.D.dialog-act.dharshi.4,,,,,,,,,False, Okay.,1,task,Assess
ES2002b,B,36.98,40.24,3.26,ES2002b.B.dialog-act.dharshi.8,B,B,0.0,1.43,False,False,0.0,[],False," Um so hopefully you've all been working away,",8,task,Inform
ES2002b,B,40.24,44.39,4.15,ES2002b.B.dialog-act.dharshi.9,B,B,0.0,0.0,False,False,0.0,[],False, and I've put the minutes of the last meeting in the project folder.,13,task,Inform
ES2002b,B,44.39,50.55,6.16,ES2002b.B.dialog-act.dharshi.10,B,B,0.0,0.0,False,False,0.0,[],False, Um so I guess just to to recap on uh what we did last time.,15,other,Offer
ES2002b,B,50.55,56.74,6.19,ES2002b.B.dialog-act.dharshi.11,B,B,0.0,0.0,False,False,0.0,[],False, Um kind of uh got to know each other a little bit and uh got familiar with all the equipment,20,task,Inform
ES2002b,B,56.74,64.14,7.4,ES2002b.B.dialog-act.dharshi.12,B,B,36.78,0.0,False,False,0.0,[],False," and started to discuss um a bit about the project, you know, cost-wise how much how much money we had to s",22,task,Inform
ES2002b,B,100.92,104.29,3.37,ES2002b.B.dialog-act.dharshi.13,B,B,0.45,36.78,False,False,0.0,[],False," Um just want to tell you that you have three new requirements,",12,task,Inform
