meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
IB4003,D,45.41,45.71,0.3,IB4003.D.dialog-act.s9553330.1,,,,,,,,,False, Okay.,1,other,Comment-About-Understanding
IB4003,C,48.68,49.616,0.936,IB4003.C.dialog-act.s9553330.1,A,,5.154,,True,False,0.0,[],False, And don't forget the,4,other,Other
IB4003,D,50.32,50.51,0.19,IB4003.D.dialog-act.s9553330.2,,,,,,,,,False, Oh yeah.,2,minor,Backchannel
IB4003,A,54.77,56.68,1.91,IB4003.A.dialog-act.s9553330.1,A,C,0.0,5.154,True,False,0.0,[],True," Um, so hi everyone.",4,other,Be-Positive
IB4003,A,56.68,59.36,2.68,IB4003.A.dialog-act.s9553330.2,A,A,0.0,0.0,False,False,0.0,[],False, Thanks for coming to this meeting.,6,other,Be-Positive
IB4003,A,59.36,69.19,9.83,IB4003.A.dialog-act.s9553330.3,A,A,0.0,0.0,False,False,0.0,[],False, Um well as you all know the topic of this morning's meeting is uh the fact that we're moving and we are going to get more space.,27,task,Inform
IB4003,A,69.19,71.99,2.8,IB4003.A.dialog-act.s9553330.4,A,A,0.0,0.0,False,False,0.0,[],False, So that's a very good piece of news.,8,task,Assess
IB4003,A,71.99,75.56,3.57,IB4003.A.dialog-act.s9553330.5,A,A,1.12,0.0,False,False,0.0,[],False, Uh but we also have to find out how we use this space.,13,task,Inform
IB4003,A,76.68,83.16,6.48,IB4003.A.dialog-act.s9553330.6,A,A,0.0,1.12,False,False,0.0,[],False," So um if you want, I'll just give a brief overview of what's happening",14,other,Offer
IB4003,A,83.16,89.99,6.83,IB4003.A.dialog-act.s9553330.7,A,A,0.0,0.0,False,False,0.0,[],False," and then we can uh talk about, well, arranging these new uh the new office space.",16,task,Suggest
IB4003,A,89.99,101.55,11.56,IB4003.A.dialog-act.s9553330.8,A,A,2.44,0.0,False,False,0.0,[],False, So um in case you haven't seen the the documents uh let me just uh show you very briefly the the configuration of the the space.,26,other,Offer
IB4003,A,103.99,107.5,3.51,IB4003.A.dialog-act.s9553330.9,A,A,0.0,2.44,False,False,0.0,[],False," So um well, there is nothing much to say.",9,task,Inform
IB4003,A,107.5,110.44,2.94,IB4003.A.dialog-act.s9553330.10,A,A,0.0,0.0,False,False,0.0,[],False, Well you know how many of us are are present,10,task,Inform
IB4003,A,110.44,115.54,5.1,IB4003.A.dialog-act.s9553330.11,A,A,0.0,0.0,False,False,0.0,[],False, and you know that we are um a bit tight actually in our present location.,15,task,Inform
IB4003,A,115.54,124.09,8.55,IB4003.A.dialog-act.s9553330.12,A,A,0.0,0.0,False,False,0.0,[],False, Uh that's why actually the university finally um allocated us this uh this part of uh the Unimail building.,19,task,Inform
IB4003,A,124.09,126.38,2.29,IB4003.A.dialog-act.s9553330.13,A,A,0.0,0.0,False,False,0.0,[],False, So it's at the sixth floor.,6,task,Inform
IB4003,A,126.38,132.33,5.95,IB4003.A.dialog-act.s9553330.14,A,A,0.0,0.0,False,False,0.0,[],False, And it's uh sort of contiguous rooms as you you can all see from uh from here.,17,task,Inform
IB4003,A,132.33,138.82,6.49,IB4003.A.dialog-act.s9553330.15,A,A,0.0,0.0,False,False,0.0,[],False," Um so the the the one P_, two P_, three P_ means the the number of persons.",17,task,Inform
IB4003,A,138.82,152.01,13.19,IB4003.A.dialog-act.s9553330.16,A,A,0.0,0.0,False,False,0.0,[],False," As you can see we have several corridor um with a number of uh of uh of rooms, of one person rooms, two person room and and three person rooms.",30,task,Inform
IB4003,A,152.01,156.04,4.03,IB4003.A.dialog-act.s9553330.17,A,A,0.0,0.0,False,False,0.0,[],False, Um actually I think Agnes did this nice drawing,9,task,Inform
IB4003,A,156.04,158.1,2.06,IB4003.A.dialog-act.s9553330.18,A,A,0.0,0.0,False,False,0.0,[],False," so she even put the the view,",7,task,Inform
IB4003,A,158.1,160.0,1.9,IB4003.A.dialog-act.s9553330.19,A,A,0.0,0.0,False,False,0.0,[],False," so we have the old town on one side,",9,task,Inform
IB4003,A,160.0,162.95,2.95,IB4003.A.dialog-act.s9553330.20,A,A,0.0,0.0,False,False,0.0,[],False, and the mountains on the other two sides.,8,task,Inform
IB4003,A,162.95,165.96,3.01,IB4003.A.dialog-act.s9553330.21,A,A,0.0,0.0,False,False,0.0,[],False, Uh we have some bathrooms for us.,7,task,Inform
IB4003,A,165.96,169.53,3.57,IB4003.A.dialog-act.s9553330.22,A,A,0.0,0.0,False,False,0.0,[],False," Uh and a courtyard which actually means a sort of uh shaft,",12,task,Inform
IB4003,A,169.53,173.59,4.06,IB4003.A.dialog-act.s9553330.23,D,A,-0.63,0.0,False,True,0.63,['IB4003.D.dialog-act.s9553330.3'],False, because uh the court is uh down at uh the first floor.,12,task,Inform
IB4003,D,172.96,175.45,2.49,IB4003.D.dialog-act.s9553330.3,D,A,0.0,-0.63,True,False,0.0,[],False," Andre, just, yeah, just a a clarification question,",8,other,Offer
IB4003,D,175.45,180.29,4.84,IB4003.D.dialog-act.s9553330.4,D,D,0.0,0.0,False,False,0.0,[],False," are they number of people per room indicated strict, or can we play around with?",15,elicit,Elicit-Inform
IB4003,D,180.29,186.77,6.48,IB4003.D.dialog-act.s9553330.5,D,D,0.0,0.0,False,False,0.0,[],False," I mean if there are two people, is it really that you can't put three or uh two and a half or uh",23,elicit,Elicit-Inform
IB4003,D,186.77,188.45,1.68,IB4003.D.dialog-act.s9553330.6,A,D,-0.96,0.0,False,True,0.96,['IB4003.A.dialog-act.s9553330.24'],False, how how was it calculated?,5,elicit,Elicit-Inform
IB4003,A,187.49,189.45,1.96,IB4003.A.dialog-act.s9553330.24,A,D,0.0,-0.96,True,False,0.0,[],False," Well, it's a bit difficult to say,",7,task,Inform
IB4003,A,189.45,194.02,4.57,IB4003.A.dialog-act.s9553330.25,A,A,0.0,0.0,False,False,0.0,[],False, because um in fact we have some constraints in terms of furniture.,12,task,Inform
IB4003,A,194.02,195.4,1.38,IB4003.A.dialog-act.s9553330.26,A,A,0.0,0.0,False,False,0.0,[],False, Uh they are here.,4,task,Inform
IB4003,D,194.84,195.09,0.25,IB4003.D.dialog-act.s9553330.7,,,,,,,,,False, 'Kay.,1,minor,Backchannel
IB4003,A,195.4,201.57,6.17,IB4003.A.dialog-act.s9553330.27,A,A,0.0,0.0,False,False,0.0,[],False," So um well, your your person Your your question actually is answered maybe by the third item.",17,task,Inform
IB4003,A,201.57,205.99,4.42,IB4003.A.dialog-act.s9553330.28,A,A,0.0,0.0,False,False,0.0,[],False," So each person should get um, well, it's a sort of desk,",12,task,Inform
IB4003,A,205.99,207.06,1.07,IB4003.A.dialog-act.s9553330.29,A,A,0.0,0.0,False,False,0.0,[],False, it's made of two pieces,5,task,Inform
IB4003,A,207.06,208.63,1.57,IB4003.A.dialog-act.s9553330.30,A,A,0.0,0.0,False,False,0.0,[],False, and it looks like a corner.,6,task,Inform
IB4003,A,208.63,210.15,1.52,IB4003.A.dialog-act.s9553330.31,A,A,0.0,0.0,False,False,0.0,[],False," With, of course, a chair.",5,task,Inform
IB4003,A,210.15,214.48,4.33,IB4003.A.dialog-act.s9553330.32,A,A,0.0,0.0,False,False,0.0,[],False, Uh a filing cabinet that goes under the desk uh,10,task,Inform
IB4003,A,214.48,218.79,4.31,IB4003.A.dialog-act.s9553330.33,A,A,0.0,0.0,False,False,0.0,[],False," and, well, we can put hanging shelves over the the desks.",11,task,Suggest
IB4003,A,218.79,225.94,7.15,IB4003.A.dialog-act.s9553330.34,A,A,0.0,0.0,False,False,0.0,[],False, So I'm not really sure it's possible to get three um three desks in a two person office.,18,task,Inform
IB4003,A,225.94,228.41,2.47,IB4003.A.dialog-act.s9553330.35,A,A,4.66,0.0,False,False,0.0,[],False, But um we could try.,5,task,Suggest
IB4003,D,227.38,227.58,0.2,IB4003.D.dialog-act.s9553330.8,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IB4003,A,228.41,230.19,1.78,IB4003.A.dialog-act.s9553330.36,,,,,,,,,False," What's What should be said here,",6,minor,Fragment
IB4003,A,230.19,233.07,2.88,IB4003.A.dialog-act.s9553330.37,,,,,,,,,False," I don't know if, well, you",6,minor,Fragment
IB4003,A,233.07,236.78,3.71,IB4003.A.dialog-act.s9553330.38,A,A,0.99,4.66,False,False,0.0,[],False, I I will maybe distribute now documents if you don't have them.,12,other,Offer
IB4003,A,236.78,237.77,0.99,IB4003.A.dialog-act.s9553330.39,,,,,,,,,False, Maybe it's easier.,3,task,Assess
IB4003,A,237.77,239.45,1.68,IB4003.A.dialog-act.s9553330.40,A,A,0.0,0.99,False,False,0.0,[],False," Do you need something, Martin?",5,elicit,Elicit-Inform
IB4003,D,239.3,240.21,0.91,IB4003.D.dialog-act.s9553330.9,,,,,,,,,False, I have everything.,3,task,Inform
IB4003,A,239.45,242.28,2.83,IB4003.A.dialog-act.s9553330.41,C,A,0.73,0.0,False,False,0.0,[],False," Um, I can keep this for you.",7,other,Offer
IB4003,D,241.19,241.919,0.729,IB4003.D.dialog-act.s9553330.10,,,,,,,,,False," Okay, so",2,minor,Backchannel
IB4003,A,242.28,243.52,1.24,IB4003.A.dialog-act.s9553330.42,,,,,,,,,False, Uh so it's it's,4,minor,Fragment
IB4003,C,243.01,243.58,0.57,IB4003.C.dialog-act.s9553330.2,A,A,0.28,0.73,True,False,0.0,[],True, I have a copy.,4,task,Inform
IB4003,A,243.52,243.86,0.34,IB4003.A.dialog-act.s9553330.43,,,,,,,,,False," Yeah,",1,task,Assess
IB4003,A,243.86,245.17,1.31,IB4003.A.dialog-act.s9553330.44,A,C,0.0,0.28,True,False,0.0,[],True," you have a copy, Susan.",5,task,Inform
IB4003,A,245.17,248.02,2.85,IB4003.A.dialog-act.s9553330.45,A,A,0.0,0.0,False,False,0.0,[],False," You too David, I think.",5,task,Inform
IB4003,B,246.63,246.86,0.23,IB4003.B.dialog-act.s9553330.1,,,,,,,,,False, Mm-hmm.,1,task,Assess
IB4003,A,248.02,250.29,2.27,IB4003.A.dialog-act.s9553330.46,A,A,0.0,0.0,False,False,0.0,[],False," So in fact there are more places than people,",9,task,Inform
IB4003,A,250.29,252.62,2.33,IB4003.A.dialog-act.s9553330.47,A,A,0.0,0.0,False,False,0.0,[],False, so we won't be that constrained.,6,task,Inform
IB4003,A,252.62,258.34,5.72,IB4003.A.dialog-act.s9553330.48,A,A,0.0,0.0,False,False,0.0,[],False," Uh as you know some of us and some of you here actually, Martin and David are part-time.",18,task,Inform
IB4003,A,258.34,261.15,2.81,IB4003.A.dialog-act.s9553330.49,A,A,0.0,0.0,False,False,0.0,[],False, So it it's for the moment quite comfortable.,8,task,Assess
IB4003,A,261.15,269.6,8.45,IB4003.A.dialog-act.s9553330.50,D,A,-1.82,0.0,False,True,0.6,['IB4003.D.dialog-act.s9553330.11'],False," Normally we should even get an extra uh an extra place for, you know, temporary people coming to work on uh on projects.",23,task,Inform
IB4003,D,267.78,268.38,0.6,IB4003.D.dialog-act.s9553330.11,A,A,1.22,-1.82,True,False,0.0,[],False, Are you sure of that?,5,elicit,Elicit-Inform
IB4003,A,269.6,270.85,1.25,IB4003.A.dialog-act.s9553330.51,A,D,0.0,1.22,True,False,0.0,[],True," Uh yeah, I uh yeah,",5,task,Inform
IB4003,A,270.85,277.14,6.29,IB4003.A.dialog-act.s9553330.52,A,A,0.0,0.0,False,False,0.0,[],False, I counted so we have um fifteen pers physical persons,10,task,Inform
IB4003,D,276.66,276.83,0.17,IB4003.D.dialog-act.s9553330.12,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IB4003,A,277.14,284.44,7.3,IB4003.A.dialog-act.s9553330.53,C,A,-0.45,0.0,False,True,0.45,['IB4003.C.dialog-act.s9553330.4'],False," and about uh sixteen, I think, uh persons oh, actually, eighteen persons in the offices.",15,task,Inform
IB4003,C,281.97,282.173,0.203,IB4003.C.dialog-act.s9553330.3,,,,,,,,,False, Two,1,other,Other
IB4003,C,283.99,287.95,3.96,IB4003.C.dialog-act.s9553330.4,D,A,-3.27,-0.45,True,True,1.73,"['IB4003.D.dialog-act.s9553330.14', 'IB4003.A.dialog-act.s9553330.55']",False, Six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen.,13,other,Other
IB4003,D,284.48,284.68,0.2,IB4003.D.dialog-act.s9553330.13,,,,,,,,,False," Yeah,",1,task,Assess
IB4003,D,284.68,286.41,1.73,IB4003.D.dialog-act.s9553330.14,A,C,1.07,-3.27,True,False,0.0,[],False, but counting the rea the the reading room.,8,task,Inform
IB4003,A,286.98,287.48,0.5,IB4003.A.dialog-act.s9553330.54,,,,,,,,,False," Exactly,",1,task,Assess
IB4003,A,287.48,299.92,12.44,IB4003.A.dialog-act.s9553330.55,A,D,0.0,1.07,True,False,0.0,[],True," it so one of the issues uh here, it's probably not on the slides, is that we would like to have uh, unlike what had until now, a lounge or reading room uh in one of the the offices.",39,task,Inform
IB4003,D,297.33,297.55,0.22,IB4003.D.dialog-act.s9553330.15,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IB4003,A,299.92,301.15,1.23,IB4003.A.dialog-act.s9553330.56,C,A,0.25,0.0,False,False,0.0,[],False, So in one of the rooms.,6,task,Inform
IB4003,C,301.4,302.21,0.81,IB4003.C.dialog-act.s9553330.5,A,A,1.08,0.25,True,False,0.0,[],True, Do we really need that?,5,elicit,Elicit-Inform
IB4003,A,303.29,307.26,3.97,IB4003.A.dialog-act.s9553330.57,A,C,0.0,1.08,True,False,0.0,[],True," Um, I think quite a lot of people e expressed the need for that.",14,task,Inform
IB4003,A,307.26,311.67,4.41,IB4003.A.dialog-act.s9553330.58,D,A,2.22,0.0,False,False,0.0,[],False," So if we could do it, then I think it would be much nicer.",14,task,Inform
IB4003,A,311.67,314.97,3.3,IB4003.A.dialog-act.s9553330.59,,,,,,,,,False, Um let me also uh st say something,8,minor,Fragment
