meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
IS1001d,A,5.59,6.75,1.16,IS1001d.A.dialog-act.vkaraisk.1,,,,,,,,,False, Okay.,1,other,Other
IS1001d,A,11.616,18.03,6.414,IS1001d.A.dialog-act.vkaraisk.2,,,,,,,,,False, Je croix que c'est dommage de le,7,minor,Fragment
IS1001d,A,18.03,22.02,3.99,IS1001d.A.dialog-act.vkaraisk.3,A,,0.0,,True,False,0.0,[],False, it will be sad to destroy this prototype.,8,other,Other
IS1001d,A,22.02,24.59,2.57,IS1001d.A.dialog-act.vkaraisk.4,C,A,0.162,0.0,False,False,0.0,[],False, It really looks like a banana.,6,task,Inform
IS1001d,C,24.752,25.77,1.018,IS1001d.C.dialog-act.vkaraisk.1,A,A,0.56,0.162,True,False,0.0,[],True, It is a banana.,4,other,Be-Positive
IS1001d,A,26.33,28.8,2.47,IS1001d.A.dialog-act.vkaraisk.5,C,C,-1.98,0.56,True,True,1.4,['IS1001d.C.dialog-act.vkaraisk.2'],True, It is a banana.,4,other,Comment-About-Understanding
IS1001d,C,26.82,28.22,1.4,IS1001d.C.dialog-act.vkaraisk.2,C,A,5.06,-1.98,True,False,0.0,[],False, It is the essence of bananas.,6,other,Be-Positive
IS1001d,C,33.28,34.36,1.08,IS1001d.C.dialog-act.vkaraisk.3,A,C,19.99,5.06,False,False,0.0,[],False, I would be confused with this thing.,7,other,Be-Negative
IS1001d,A,35.685,37.987,2.302,IS1001d.A.dialog-act.vkaraisk.6,,,,,,,,,False,,0,minor,Fragment
IS1001d,C,37.488,39.2,1.712,IS1001d.C.dialog-act.vkaraisk.4,,,,,,,,,False,,0,minor,Fragment
IS1001d,A,39.51,40.548,1.038,IS1001d.A.dialog-act.vkaraisk.7,,,,,,,,,False,,0,minor,Fragment
IS1001d,A,46.23,46.46,0.23,IS1001d.A.dialog-act.vkaraisk.8,,,,,,,,,False, Mm.,1,other,Other
IS1001d,C,46.69,47.09,0.4,IS1001d.C.dialog-act.vkaraisk.5,,,,,,,,,False, S,1,minor,Fragment
IS1001d,B,46.736,48.12,1.384,IS1001d.B.dialog-act.vkaraisk.1,,,,,,,,,False,,0,minor,Fragment
IS1001d,D,47.67,49.487,1.817,IS1001d.D.dialog-act.vkaraisk.1,,,,,,,,,False, Mm-hmm.,1,other,Other
IS1001d,A,47.81,52.16,4.35,IS1001d.A.dialog-act.vkaraisk.9,,,,,,,,,False, Okay.,1,minor,Stall
IS1001d,C,49.46,50.25,0.79,IS1001d.C.dialog-act.vkaraisk.6,,,,,,,,,False, How is everyone?,3,other,Be-Positive
IS1001d,A,52.16,54.35,2.19,IS1001d.A.dialog-act.vkaraisk.10,,,,,,,,,False, Hi.,1,other,Be-Positive
IS1001d,B,53.14,53.46,0.32,IS1001d.B.dialog-act.vkaraisk.2,,,,,,,,,False, Hi.,1,other,Be-Positive
IS1001d,A,54.35,58.37,4.02,IS1001d.A.dialog-act.vkaraisk.11,A,C,5.92,19.99,True,False,0.0,[],True, So we are here for the detailed design meeting.,9,task,Inform
IS1001d,D,57.504,58.238,0.734,IS1001d.D.dialog-act.vkaraisk.2,,,,,,,,,False,,0,minor,Fragment
IS1001d,C,59.77,60.25,0.48,IS1001d.C.dialog-act.vkaraisk.7,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IS1001d,A,59.865,62.86,2.995,IS1001d.A.dialog-act.vkaraisk.12,,,,,,,,,False, So,1,minor,Stall
IS1001d,A,62.86,64.29,1.43,IS1001d.A.dialog-act.vkaraisk.13,,,,,,,,,False, we will uh,3,minor,Fragment
IS1001d,A,64.29,67.58,3.29,IS1001d.A.dialog-act.vkaraisk.14,A,A,3.73,5.92,False,False,0.0,[],False, I will first present what we are going to do in this meeting.,13,task,Inform
IS1001d,A,68.88,71.31,2.43,IS1001d.A.dialog-act.vkaraisk.15,,,,,,,,,False, Then uh I've,3,minor,Fragment
IS1001d,A,71.31,73.54,2.23,IS1001d.A.dialog-act.vkaraisk.16,A,A,0.0,3.73,False,False,0.0,[],False, I will also take notes during this meeting,8,task,Inform
IS1001d,A,73.54,78.9,5.36,IS1001d.A.dialog-act.vkaraisk.17,A,A,0.0,0.0,False,False,0.0,[],False, and I will send you uh a summary then as usual.,11,task,Inform
IS1001d,A,78.9,87.23,8.33,IS1001d.A.dialog-act.vkaraisk.18,A,A,0.0,0.0,False,False,0.0,[],False, We will then look at the evaluation criteria of the prototype presented by uh our two colleagues,17,task,Inform
IS1001d,A,87.23,92.69,5.46,IS1001d.A.dialog-act.vkaraisk.19,A,A,0.0,0.0,False,False,0.0,[],False, that make good work.,4,other,Be-Positive
IS1001d,B,88.922,91.255,2.333,IS1001d.B.dialog-act.vkaraisk.3,,,,,,,,,False,,0,minor,Fragment
IS1001d,D,89.44,90.368,0.928,IS1001d.D.dialog-act.vkaraisk.3,,,,,,,,,False,,0,minor,Fragment
IS1001d,A,92.69,98.76,6.07,IS1001d.A.dialog-act.vkaraisk.20,A,A,0.0,0.0,False,False,0.0,[],False, And uh then we will see the financial aspects and the cost of the product.,15,task,Inform
IS1001d,A,98.76,101.95,3.19,IS1001d.A.dialog-act.vkaraisk.21,A,A,0.79,0.0,False,False,0.0,[],False, Then we will uh evaluate the product.,7,task,Inform
IS1001d,A,102.74,115.12,12.38,IS1001d.A.dialog-act.vkaraisk.22,A,A,2.85,0.79,False,False,0.0,[],False, And uh end with the conclusion of this project and see whether it fits with it fulf if it fulfil the requirement or not.,24,task,Inform
IS1001d,B,115.99,116.38,0.39,IS1001d.B.dialog-act.vkaraisk.4,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IS1001d,A,116.44,117.35,0.91,IS1001d.A.dialog-act.vkaraisk.23,,,,,,,,,False, So,1,minor,Stall
IS1001d,A,117.35,117.97,0.62,IS1001d.A.dialog-act.vkaraisk.24,,,,,,,,,False, d,1,minor,Fragment
IS1001d,A,117.97,120.64,2.67,IS1001d.A.dialog-act.vkaraisk.25,A,A,1.7,2.85,False,False,0.0,[],False, let's start with the cost aspect,6,task,Suggest
IS1001d,A,120.64,122.34,1.7,IS1001d.A.dialog-act.vkaraisk.26,,,,,,,,,False, so so,2,minor,Stall
IS1001d,A,122.34,124.91,2.57,IS1001d.A.dialog-act.vkaraisk.27,A,A,0.0,1.7,False,False,0.0,[],False," I look at the aspect discussed last time,",8,task,Inform
IS1001d,A,124.91,129.0,4.09,IS1001d.A.dialog-act.vkaraisk.28,A,A,0.0,0.0,False,False,0.0,[],False," that is to say uh to have a standard battery,",10,task,Inform
IS1001d,A,129.0,136.69,7.69,IS1001d.A.dialog-act.vkaraisk.29,A,A,0.69,0.0,False,False,0.0,[],False, to have a yellow banana shaped uh case with uh a rubber material around it,15,task,Inform
IS1001d,B,132.223,133.453,1.23,IS1001d.B.dialog-act.vkaraisk.5,,,,,,,,,False,,0,minor,Fragment
IS1001d,A,136.69,137.38,0.69,IS1001d.A.dialog-act.vkaraisk.30,,,,,,,,,False, to be,2,minor,Fragment
IS1001d,A,137.38,139.53,2.15,IS1001d.A.dialog-act.vkaraisk.31,A,A,1.382,0.69,False,False,0.0,[],False," uh to feel spongy,",4,task,Inform
IS1001d,C,138.4,139.27,0.87,IS1001d.C.dialog-act.vkaraisk.8,,,,,,,,,False, Like a banana.,3,task,Inform
IS1001d,D,140.512,140.896,0.384,IS1001d.D.dialog-act.vkaraisk.4,,,,,,,,,False,,0,minor,Fragment
IS1001d,A,140.912,148.69,7.778,IS1001d.A.dialog-act.vkaraisk.32,A,A,0.0,1.382,False,False,0.0,[],False, and uh also at the different aspect like having a wheel etcetera.,12,task,Inform
IS1001d,B,146.93,147.18,0.25,IS1001d.B.dialog-act.vkaraisk.6,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IS1001d,A,148.69,152.74,4.05,IS1001d.A.dialog-act.vkaraisk.33,A,A,0.31,0.0,False,False,0.0,[],False, And the cost ended to be ten point seven Euros.,10,task,Inform
IS1001d,A,152.74,153.05,0.31,IS1001d.A.dialog-act.vkaraisk.34,,,,,,,,,False, So,1,minor,Stall
IS1001d,A,153.05,154.05,1.0,IS1001d.A.dialog-act.vkaraisk.35,A,A,0.0,0.31,False,False,0.0,[],False," which is uh good,",4,task,Assess
IS1001d,A,154.05,158.64,4.59,IS1001d.A.dialog-act.vkaraisk.36,A,A,1.66,0.0,False,False,0.0,[],False, because we had a price gap of twelve point five Euros.,11,task,Inform
