meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
IS1000a,C,37.25,38.01,0.76,IS1000a.C.dialog-act.vkaraisk.1,,,,,,,,,False, Okay.,1,other,Other
IS1000a,D,38.71,40.89,2.18,IS1000a.D.dialog-act.vkaraisk.1,C,,4.04,,True,False,0.0,[],False, Or you get it.,4,task,Inform
IS1000a,D,40.89,41.34,0.45,IS1000a.D.dialog-act.vkaraisk.2,,,,,,,,,False, Okay.,1,task,Assess
IS1000a,C,44.93,45.83,0.9,IS1000a.C.dialog-act.vkaraisk.2,C,D,0.0,4.04,True,False,0.0,[],True, No I don't think so,5,task,Inform
IS1000a,C,45.83,48.14,2.31,IS1000a.C.dialog-act.vkaraisk.3,C,C,1.72,0.0,False,False,0.0,[],False, it has to be like that,6,task,Suggest
IS1000a,C,48.14,49.86,1.72,IS1000a.C.dialog-act.vkaraisk.4,,,,,,,,,False, yeah,1,task,Assess
IS1000a,C,49.86,51.42,1.56,IS1000a.C.dialog-act.vkaraisk.5,B,C,42.73,1.72,False,False,0.0,[],False, and you have to adjust the length.,7,task,Suggest
IS1000a,C,70.02,72.86,2.84,IS1000a.C.dialog-act.vkaraisk.6,,,,,,,,,False," Okay, and then.",3,other,Other
IS1000a,B,92.24,94.15,1.91,IS1000a.B.dialog-act.vkaraisk.1,,,,,,,,,False, So,1,minor,Stall
IS1000a,B,94.15,97.48,3.33,IS1000a.B.dialog-act.vkaraisk.2,C,C,-1.46,42.73,True,True,1.46,['IS1000a.C.dialog-act.vkaraisk.7'],True," we uh we will wait for Anna, a few minutes.",10,task,Suggest
IS1000a,C,96.02,99.02,3.0,IS1000a.C.dialog-act.vkaraisk.7,C,B,11.89,-1.46,True,False,0.0,[],False," Yeah, s yeah, um.",4,task,Assess
IS1000a,D,98.976,100.298,1.322,IS1000a.D.dialog-act.vkaraisk.3,,,,,,,,,False,,0,minor,Fragment
IS1000a,D,104.96,105.45,0.49,IS1000a.D.dialog-act.vkaraisk.4,,,,,,,,,False, Mm.,1,other,Other
IS1000a,D,105.45,108.24,2.79,IS1000a.D.dialog-act.vkaraisk.5,,,,,,,,,False, Yours is well,3,task,Assess
IS1000a,C,110.91,113.13,2.22,IS1000a.C.dialog-act.vkaraisk.8,D,C,1.37,11.89,False,False,0.0,[],False," I think you can put anywhere you want, actually.",9,task,Suggest
IS1000a,D,114.31,114.5,0.19,IS1000a.D.dialog-act.vkaraisk.6,,,,,,,,,False, Yeah,1,minor,Stall
IS1000a,C,114.49,114.73,0.24,IS1000a.C.dialog-act.vkaraisk.9,,,,,,,,,False, I thin,2,minor,Stall
IS1000a,D,114.5,116.416,1.916,IS1000a.D.dialog-act.vkaraisk.7,C,C,0.474,1.37,True,False,0.0,[],True, but the the mic should not,6,task,Suggest
IS1000a,C,116.89,118.65,1.76,IS1000a.C.dialog-act.vkaraisk.10,B,D,4.23,0.474,True,False,0.0,[],True," It's not a directional mic, anyway.",6,task,Inform
IS1000a,D,122.4,123.68,1.28,IS1000a.D.dialog-act.vkaraisk.8,,,,,,,,,False,,0,minor,Fragment
IS1000a,B,122.88,126.94,4.06,IS1000a.B.dialog-act.vkaraisk.3,B,C,0.0,4.23,True,False,0.0,[],True, I think it should work like this.,7,task,Inform
IS1000a,C,126.4,126.88,0.48,IS1000a.C.dialog-act.vkaraisk.11,,,,,,,,,False, Uh.,1,other,Other
IS1000a,B,126.94,133.43,6.49,IS1000a.B.dialog-act.vkaraisk.4,D,B,8.55,0.0,False,False,0.0,[],False, So I will try to get my presentation running.,9,other,Offer
