word,region,IPAs,file_path,wiktionary_url
%,US,"[""/p\u025a\u02c8s\u025bnt/""]",./audio_files/en-us-percent.wav,https://en.wiktionary.org/wiki/%
101,US,"[""/\u02ccw\u028cn\u02cco\u028a\u02c8w\u028cn/""]",./audio_files/En-us-101.wav,https://en.wiktionary.org/wiki/101
10 Downing Street,General Australian,"[""/\u02cct\u025bn \u02c8da\u028an\u026a\u014b st\u0279i\u02d0t/""]",./audio_files/en-au-10_Downing_Street.wav,https://en.wiktionary.org/wiki/10_Downing_Street
10x developer,US,"[""/\u02cct\u025b\u02c8n\u025bks d\u026a\u02c8v\u025b.l\u0259.p\u025a/""]",./audio_files/en-us-10x_developer.wav,https://en.wiktionary.org/wiki/10x_developer
16-cell,US,"[""/s\u026aks\u02c8ti\u02d0n\u02ccs\u025bl/""]",./audio_files/en-us-16-cell.wav,https://en.wiktionary.org/wiki/16-cell
1st,US,"[""/f\u025dst/""]",./audio_files/en-us-1st.wav,https://en.wiktionary.org/wiki/1st
23 skidoo,Southern England,"[""/\u02cctw\u025bnti \u02cc\u03b8\u0279i\u02d0 sk\u026a\u02c8du\u02d0/""]",./audio_files/LL-Q1860_(eng)-Vealhurl-23_skidoo.wav,https://en.wiktionary.org/wiki/23_skidoo
360 noscope,US,"[""/\u03b8ri.s\u026aks.ti\u02c8no\u028a.sko\u028ap/""]",./audio_files/En-US-360_noscope.wav,https://en.wiktionary.org/wiki/360_noscope
404,General Australian,"[""/\u02c8f\u0254\u02d0\u0279\u0259\u028a\u02ccf\u0254\u02d0(\u0279)/""]",./audio_files/En-au-404.wav,https://en.wiktionary.org/wiki/404
5-MeO-DMT,US,"[""/fa\u026av\u02cc\u025bmio\u028a\u02c8di\u02d0\u025bmti\u02d0/""]",./audio_files/Short5meo.wav,https://en.wiktionary.org/wiki/5-MeO-DMT
