meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
ES2013d,B,8.352,11.744,3.392,ES2013d.B.dialog-act.vkaraisk.1,,,,,,,,,False,,0,minor,Fragment
ES2013d,A,18.55,19.99,1.44,ES2013d.A.dialog-act.vkaraisk.1,,,,,,,,,False," Um almost,",2,task,Inform
ES2013d,A,19.99,22.68,2.69,ES2013d.A.dialog-act.vkaraisk.2,A,,0.0,,True,False,0.0,[],False, there's one more thing I have to get out of the,11,task,Inform
ES2013d,A,22.68,25.81,3.13,ES2013d.A.dialog-act.vkaraisk.3,B,A,2.76,0.0,False,False,0.0,[],False, I have to make sure that this attachment will open.,10,task,Inform
ES2013d,B,28.57,31.45,2.88,ES2013d.B.dialog-act.vkaraisk.2,A,A,7.24,2.76,True,False,0.0,[],True, I keep forgetting whether I've done this..,7,task,Inform
ES2013d,A,31.89,32.31,0.42,ES2013d.A.dialog-act.vkaraisk.4,,,,,,,,,False, Ah-ha.,1,task,Assess
ES2013d,A,36.25,36.76,0.51,ES2013d.A.dialog-act.vkaraisk.5,,,,,,,,,False, Okay.,1,minor,Stall
ES2013d,A,38.69,41.1,2.41,ES2013d.A.dialog-act.vkaraisk.6,A,B,18.42,7.24,True,False,0.0,[],True, We'll open that when the time is right.,8,task,Suggest
ES2013d,A,42.34,43.552,1.212,ES2013d.A.dialog-act.vkaraisk.7,,,,,,,,,False, In the meantime,3,minor,Fragment
ES2013d,A,45.59,47.35,1.76,ES2013d.A.dialog-act.vkaraisk.8,,,,,,,,,False," Closing things down,",3,task,Inform
ES2013d,A,47.35,48.08,0.73,ES2013d.A.dialog-act.vkaraisk.9,,,,,,,,,False, okay.,1,task,Assess
ES2013d,A,59.52,61.45,1.93,ES2013d.A.dialog-act.vkaraisk.10,A,A,1.25,18.42,False,False,0.0,[],False, Let's see what this thing does.,6,task,Suggest
ES2013d,A,62.7,67.16,4.46,ES2013d.A.dialog-act.vkaraisk.11,A,A,0.31,1.25,False,False,0.0,[],False, Does it come up together or disappear one of them or what?,12,elicit,Elicit-Inform
ES2013d,A,67.16,67.47,0.31,ES2013d.A.dialog-act.vkaraisk.12,,,,,,,,,False," Ah,",1,minor,Stall
ES2013d,A,67.47,68.9,1.43,ES2013d.A.dialog-act.vkaraisk.13,A,A,18.11,0.31,False,False,0.0,[],False," we came up together,",4,task,Inform
ES2013d,A,68.9,69.45,0.55,ES2013d.A.dialog-act.vkaraisk.14,,,,,,,,,False, we're good.,2,task,Assess
ES2013d,A,84.36,84.74,0.38,ES2013d.A.dialog-act.vkaraisk.15,,,,,,,,,False, Okay.,1,minor,Stall
ES2013d,A,87.01,88.16,1.15,ES2013d.A.dialog-act.vkaraisk.16,A,A,2.67,18.11,False,False,0.0,[],False, Are we ready to start?,5,elicit,Elicit-Assessment
ES2013d,A,90.22,90.83,0.61,ES2013d.A.dialog-act.vkaraisk.17,,,,,,,,,False, Okay.,1,other,Comment-About-Understanding
ES2013d,A,90.83,93.44,2.61,ES2013d.A.dialog-act.vkaraisk.18,A,A,0.0,2.67,False,False,0.0,[],False, It's now quarter of four.,5,task,Inform
ES2013d,A,93.44,96.1,2.66,ES2013d.A.dialog-act.vkaraisk.19,A,A,0.0,0.0,False,False,0.0,[],False, This is a f another forty minute one,8,task,Inform
