meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
IS1006c,A,24.28,25.16,0.88,IS1006c.A.dialog-act.vkaraisk.1,,,,,,,,,False," Okay, so",2,minor,Stall
IS1006c,A,25.16,27.89,2.73,IS1006c.A.dialog-act.vkaraisk.2,A,,0.8,,True,False,0.0,[],False, now we are on the conceptual design meeting.,8,task,Inform
IS1006c,A,28.69,32.0,3.31,IS1006c.A.dialog-act.vkaraisk.3,A,A,0.0,0.8,False,False,0.0,[],False, Uh y getting close to the last,7,task,Inform
IS1006c,D,28.72,28.92,0.2,IS1006c.D.dialog-act.vkaraisk.1,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
IS1006c,A,32.0,36.352,4.352,IS1006c.A.dialog-act.vkaraisk.4,D,A,5.048,0.0,False,False,0.0,[],False, is the penultim meeting.,4,task,Inform
IS1006c,D,35.504,35.92,0.416,IS1006c.D.dialog-act.vkaraisk.2,,,,,,,,,False,,0,minor,Fragment
IS1006c,B,36.26,47.489,11.229,IS1006c.B.dialog-act.vkaraisk.1,,,,,,,,,False, How was lunch?,3,other,Be-Positive
IS1006c,D,37.555,41.4,3.845,IS1006c.D.dialog-act.vkaraisk.3,,,,,,,,,False, Thanks,1,other,Be-Positive
IS1006c,A,37.648,47.882,10.234,IS1006c.A.dialog-act.vkaraisk.5,,,,,,,,,False, Mm great.,2,other,Be-Positive
IS1006c,C,38.4,49.461,11.061,IS1006c.C.dialog-act.vkaraisk.1,,,,,,,,,False,,0,minor,Fragment
IS1006c,D,41.4,47.87,6.47,IS1006c.D.dialog-act.vkaraisk.4,A,A,3.07,5.048,True,False,0.0,[],True, Don't be sarcastic. Mark.,4,other,Be-Positive
IS1006c,A,49.02,50.94,1.92,IS1006c.A.dialog-act.vkaraisk.6,,,,,,,,,False, So um,2,minor,Stall
IS1006c,A,50.94,53.83,2.89,IS1006c.A.dialog-act.vkaraisk.7,A,D,0.0,3.07,True,False,0.0,[],True, I will again do the secretary part,7,task,Inform
IS1006c,A,53.83,64.45,10.62,IS1006c.A.dialog-act.vkaraisk.8,A,A,0.0,0.0,False,False,0.0,[],False," uh we will have three presentation first um uh the industrial design, first Rama then Mark and then Sammy.",19,task,Inform
IS1006c,D,58.72,59.37,0.65,IS1006c.D.dialog-act.vkaraisk.5,,,,,,,,,False, Uh Rama.,2,task,Inform
IS1006c,C,59.968,60.86,0.892,IS1006c.C.dialog-act.vkaraisk.2,,,,,,,,,False, Ramaro.,1,task,Inform
IS1006c,A,64.45,74.22,9.77,IS1006c.A.dialog-act.vkaraisk.9,A,A,0.0,0.0,False,False,0.0,[],False, Um um we have to take a decision on the control remote control concepts,14,task,Inform
IS1006c,A,74.22,75.9,1.68,IS1006c.A.dialog-act.vkaraisk.10,A,A,4.24,0.0,False,False,0.0,[],False, and we have forty minutes.,5,task,Inform
IS1006c,B,77.13,77.4,0.27,IS1006c.B.dialog-act.vkaraisk.2,,,,,,,,,False, Mm.,1,minor,Backchannel
IS1006c,A,77.79,78.75,0.96,IS1006c.A.dialog-act.vkaraisk.11,,,,,,,,,False, So,1,minor,Stall
IS1006c,A,78.75,80.14,1.39,IS1006c.A.dialog-act.vkaraisk.12,,,,,,,,,False, what we want to,4,minor,Fragment
IS1006c,A,80.14,95.4,15.26,IS1006c.A.dialog-act.vkaraisk.13,A,A,0.0,4.24,False,False,0.0,[],False," the decision we want to take on this meeting are on the um first on the component concept, so what kind of energy we use uh what kind of chip on print and one ki kind of case.",38,task,Inform
IS1006c,A,95.4,104.11,8.71,IS1006c.A.dialog-act.vkaraisk.14,A,A,0.0,0.0,False,False,0.0,[],False, And also on user interface concept uh what kind of interface we use and if there is some supplements.,19,task,Inform
IS1006c,A,104.11,113.47,9.36,IS1006c.A.dialog-act.vkaraisk.15,C,A,29.21,0.0,False,False,0.0,[],False, And at the end um Sammy will give um a trend watching on what he's he's been doing.,18,task,Inform
IS1006c,A,113.47,113.817,0.347,IS1006c.A.dialog-act.vkaraisk.16,,,,,,,,,False, It's,1,minor,Fragment
IS1006c,A,116.15,117.25,1.1,IS1006c.A.dialog-act.vkaraisk.17,,,,,,,,,False," So,",1,minor,Stall
IS1006c,A,117.25,118.48,1.23,IS1006c.A.dialog-act.vkaraisk.18,,,,,,,,,False, let's go.,2,task,Suggest
IS1006c,A,118.48,121.67,3.19,IS1006c.A.dialog-act.vkaraisk.19,,,,,,,,,False, First with Rama.,3,task,Suggest
IS1006c,A,128.98,129.96,0.98,IS1006c.A.dialog-act.vkaraisk.20,,,,,,,,,False, Participant two.,2,elicit,Elicit-Inform
